"repo_id","repo_git","closed_year","closed_month","issue_total"
"25498","https://github.com/tensorflow/tensorflow","2016","12","293"
"25498","https://github.com/tensorflow/tensorflow","2016","11","315"
"25498","https://github.com/tensorflow/tensorflow","2016","10","348"
"25498","https://github.com/tensorflow/tensorflow","2016","9","276"
"25498","https://github.com/tensorflow/tensorflow","2016","8","297"
"25498","https://github.com/tensorflow/tensorflow","2016","7","257"
"25498","https://github.com/tensorflow/tensorflow","2016","6","400"
"25498","https://github.com/tensorflow/tensorflow","2016","5","178"
"25498","https://github.com/tensorflow/tensorflow","2016","4","173"
"25498","https://github.com/tensorflow/tensorflow","2016","3","185"
"25498","https://github.com/tensorflow/tensorflow","2016","2","167"
"25498","https://github.com/tensorflow/tensorflow","2016","1","131"
"25498","https://github.com/tensorflow/tensorflow","2015","12","161"
"25498","https://github.com/tensorflow/tensorflow","2015","11","219"
